datasetID	asv	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	otu
SBDI-ASV-191208	ASVBAC002254	Bacteria	Bacteroidota	Bacteroidia						
SBDI-ASV-191208	ASVBAC002275	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae				
SBDI-ASV-191208	ASVBAC000228	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	UBA10364			
SBDI-ASV-191208	ASVBAC002282	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	ELB16-189			
SBDI-ASV-191208	ASVBAC002303	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales					
SBDI-ASV-191208	ASVBAC000231	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	koll-22	BRH-c54			
SBDI-ASV-191208	ASVBAC002316	Bacteria	Bacteroidota	Bacteroidia						
SBDI-ASV-191208	ASVBAC002318	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Saprospira			
SBDI-ASV-191208	ASVBAC002333	Bacteria	Bacteroidota	Bacteroidia						
SBDI-ASV-191208	ASVBAC002363	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales					
SBDI-ASV-191208	ASVBAC002364	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales					
SBDI-ASV-191208	ASVBAC002365	Bacteria	Bacteroidota	Bacteroidia						
